soil_name;soil_abr;r;g;b;c;m;y;k;h;s;v
ARGISSOLOS;P;255;167;127;0;35;50;0;18;50;100
CAMBISSOLOS;C;215;197;165;16;19;37;0;38;23;84
CHERNOSSOLOS;M;170;134;134;34;48;40;3;0;21;67
ESPODOSSOLOS;E;206;190;198;18;24;14;0;330;8;81
GLEISSOLOS;G;182;216;238;27;5;2;0;204;24;93
LATOSSOLOS;L;254;204;92;1;20;74;0;41;64;99
LUVISSOLOS;T;212;150;22;17;42;100;1;40;90;83
NEOSSOLOS;R;255;254;115;4;0;66;0;60;55;100
NITOSSOLOS;N;168;56;0;23;88;100;18;20;100;66
ORGANOSSOLOS;O;101;78;156;72;81;2;0;258;50;61
PLANOSSOLOS;S;181;214;174;30;2;39;0;109;19;84
PLINTOSSOLOS;F;214;186;201;15;27;10;0;328;13;84
VERTISSOLOS;V;158;170;133;41;24;54;1;79;22;67
