ordem_sub_ordem;abr;r;g;b
ARGISSOLOS BRUNO-ACINZENTADOS;PBAC;255;200;250
ARGISSOLOS ACINZENTADOS;PAC;253;241;240
ARGISSOLOS AMARELOS;PA;241;204;200
ARGISSOLOS VERMELHOS;PV;240;127;127
ARGISSOLOS VERMELHO-AMARELOS;PVA;255;167;127
CAMBISSOLOS HÍSTICOS;CI;170;134;105
CAMBISSOLOS HÚMICOS;CH;207;182;128
CAMBISSOLOS FLÚVICOS;CY;235;219;191
CAMBISSOLOS HÁPLICOS;CX;215;197;165
GLEISSOLOS TIOMÓRFICOS;GJ;108;163;205
GLEISSOLOS SÁLICOS;GZ;94;180;230
GLEISSOLOS MELÂNICOS;GM;120;252;250
GLEISSOLOS HÁPLICOS;GX;182;216;238
LATOSSOLOS BRUNOS;LB;168;112;0
LATOSSOLOS AMARELOS;LA;254;204;92
LATOSSOLOS VERMELHOS;LV;244;185;128
LATOSSOLOS VERMELHO-AMARELOS;LVA;247;209;166
CHERNOSSOLOS RÊNDZICOS;MD;142;104;86
CHERNOSSOLOS EBÂNICOS;ME;170;134;134
CHERNOSSOLOS ARGILÚVICOS;MT;156;74;78
CHERNOSSOLOS HÁPLICOS;MX;156;95;95
ESPODOSSOLOS HUMILÚVICOS;EK;193;190;197
ESPODOSSOLOS FERRILÚVICOS;ES;206;190;198
ESPODOSSOLOS FERRI-HUMILÚVICOS;ESK;182;190;197
LUVISSOLOS CRÔMICOS;TC;212;150;22
LUVISSOLOS HÁPLICOS;TX;212;179;0
NEOSSOLOS LITÓLICOS;RL;150;149;149
NEOSSOLOS FLÚVICOS;RY;238;235;220
NEOSSOLOS REGOLÍTICOS;RR;207;206;206
NEOSSOLOS QUARTZARÊNICOS;RQ;255;254;115
NITOSSOLOS BRUNOS;NB;104;53;10
NITOSSOLOS VERMELHOS;NV;168;56;0
NITOSSOLOS HÁPLICOS;NX;115;76;0
ORGANOSSOLOS TIOMÓRFICOS;OJ;66;48;150
ORGANOSSOLOS FÓLICOS;OO;101;78;156
ORGANOSSOLOS HÁPLICOS;OX;167;179;213
PLANOSSOLOS NÁTRICOS;SN;137;202;199
PLANOSSOLOS HÁPLICOS;SX;181;214;174
PLINTOSSOLOS PÉTRICOS;FF;236;172;203
PLINTOSSOLOS ARGILÚVICOS;FT;236;135;203
PLINTOSSOLOS HÁPLICOS;FX;214;186;201
VERTISSOLOS HIDROMÓRFICOS;VG;158;170;133
VERTISSOLOS EBÂNICOS;VE;134;143;114
VERTISSOLOS HÁPLICOS;VX;192;192;145
AFLORAMENTO DE ROCHAS;AR;0;0;0
